source_id,title,current_path,path_at_commit,source_kind,file_format,tracked_state,branch_or_ref,commit_hash,git_first_seen,git_last_changed,filesystem_modified_time,historical_date_claim,date_confidence,sha256,size_bytes,version_label,previous_version,next_version,related_files,confidentiality,contains_personal_data,full_read_status,full_read_date,readable,access_problem,historical_relevance,can_prove,cannot_prove,candidate_topics,reviewer_notes
SRC-001,BossOCR,docs/README.md,docs/README.md,readme,md,tracked_current,main,c36d6e7549e5098a4381861de40b271e718d5f20,2026-06-30T21:58:23+08:00,2026-07-12T22:38:48+08:00,2026-07-12T14:34:16.974Z,,unknown,83c663be64f2e79b001292a9609ab37837cd47683f5e1ba28e125673c20194e6,28131,v1.2 current,,,[],internal,false,fully_read,2026-07-25,true,,critical,"[""该版本面向用户声明的能力、用法、约束与支持平台""]","[""代码一定符合文档"",""功能首次提出时间"",""远程发布对象状态""]","[""Windows"",""v1.2"",""usage"",""architecture""]",当前 v1.2 用户与维护入口，汇总 Windows Edge、OCR、规则语法、收藏/转发、校准模板、构建、隐私和限制。
SRC-002,关键词连续误触发问题调查报告（修订版）,docs/INVESTIGATION_REPORT.md,docs/INVESTIGATION_REPORT.md,investigation_report,md,tracked_current,main,8082d04cf408212560051bfacfa7588531512f69,2026-06-30T22:54:58+08:00,2026-07-12T22:26:19+08:00,2026-06-30T15:41:29.550Z,2026-06-30,confirmed,53085d45662374ffe92394bf12e65d15b7a8772c3e9462bba334cbe017103347,10183,,,,[],restricted,true,fully_read,2026-07-25,true,,critical,"[""该 investigation_report 资料直接记录的项目事实""]","[""未由该资料直接记录的动机、实现或发布事实""]","[""OCR"",""clipboard"",""false-positive"",""P0""]",复核连续关键词误触发事故，确认 Ctrl+A/Ctrl+C 复制了详情覆盖层与底层推荐列表的混合全文，并纠正旧版对翻页失败的过强推断。
SRC-003,RapidOCR 简历关键词检测实施方案,docs/RAPIDOCR_IMPLEMENTATION_PLAN.md,docs/RAPIDOCR_IMPLEMENTATION_PLAN.md,technical_plan,md,tracked_current,main,8082d04cf408212560051bfacfa7588531512f69,2026-06-30T22:54:58+08:00,2026-07-12T22:26:19+08:00,2026-06-30T15:41:29.552Z,2026-06-30,confirmed,ce8da723f83d831837cf8af9a75c8d9490f4cdb9e579478e2bf1eb693e5fe4a0,14115,,,,[],internal,false,fully_read,2026-07-25,true,,high,"[""当时记录的目标、非目标、设计意图、风险与计划验收条件""]","[""最终代码是否按计划实现"",""自动化或人工验收是否通过"",""是否已进入发布""]","[""RapidOCR"",""privacy"",""exact-match"",""fail-closed""]",提出本地 RapidOCR 替代全页剪贴板方案，冻结局部截图、精确匹配、固定最多 8 屏、二次确认和失败关闭原则。
SRC-004,RapidOCR 关键词检测改造详细实施文档,docs/RAPIDOCR_DETAILED_EXECUTION_GUIDE.md,docs/RAPIDOCR_DETAILED_EXECUTION_GUIDE.md,test_guide,md,tracked_current,main,8082d04cf408212560051bfacfa7588531512f69,2026-06-30T22:54:58+08:00,2026-07-12T22:26:19+08:00,2026-06-30T15:41:29.551Z,,unknown,a4b0680c1781f00c47996502252d63d84392128d2000f6cb5cbc81b58d9a8527,17952,,,,[],internal,false,partially_read,2026-07-25,true,,medium,"[""该 test_guide 资料直接记录的项目事实""]","[""未由该资料直接记录的动机、实现或发布事实""]","[""RapidOCR"",""execution-guide""]",已登记来源、定位、读取状态与可证明边界；正式需求抽取时需按主题与相邻材料交叉验证。
SRC-005,Issue #1 BossOCR minimal changes v1.0,docs/Issue-1-BossOCR-release-notes.md,docs/Issue-1-BossOCR-release-notes.md,release_notes,md,tracked_current,main,8082d04cf408212560051bfacfa7588531512f69,2026-07-01T13:57:53+08:00,2026-07-12T22:26:19+08:00,2026-07-01T13:42:42.876Z,,unknown,602c242c8eacec34c5a5e314f700bd02bf2fa2afef484e020d5188d19cc3e13d,2508,Issue #1 v1.0,,,[],internal,false,fully_read,2026-07-25,true,,high,"[""发布说明声称的功能范围、使用边界、资产名称与校验信息""]","[""远程 Release 当前是否存在且附件是否仍一致"",""代码真实执行细节""]","[""Issue-1"",""Windows"",""release""]",记录 Issue #1 最小发布范围、迁移说明、64 项测试声明和 Windows x64 使用限制。
SRC-006,Issue-Action-Mode-Favorite-Forward Acceptance Report,docs/Issue-Action-Mode-Favorite-Forward-acceptance-report.md,docs/Issue-Action-Mode-Favorite-Forward-acceptance-report.md,acceptance_report,md,tracked_current,main,8082d04cf408212560051bfacfa7588531512f69,2026-07-10T00:42:04+08:00,2026-07-12T22:26:19+08:00,2026-07-09T16:20:24.732Z,,unknown,2a9edda1f2b3d8dd73e1acb53e3689b4861181733ad5e7260cfd3c10846e8f8c,12200,,,,"[""PRD-and-Codex-Prompt-Favorite-Action-Mode.md"",""docs/TID-Action-Mode-Favorite-Forward.md""]",internal,false,fully_read,2026-07-25,true,,high,"[""报告所声称的验收结论、测试命令/数量、提交与残余风险""]","[""报告之外的实际运行行为"",""未执行人工测试的结果"",""远程发布对象当前状态""]","[""favorite"",""forward"",""action_mode""]",确认收藏/转发模式、入口贯通、运行期收藏校准、0.5 秒等待和 202 项全量回归；人工冒烟仍建议执行。
SRC-007,校准模板模块验收报告,docs/Issue-calibration-template-module-acceptance-report.md,docs/Issue-calibration-template-module-acceptance-report.md,acceptance_report,md,tracked_current,main,8082d04cf408212560051bfacfa7588531512f69,2026-07-10T08:53:17+08:00,2026-07-12T22:26:19+08:00,2026-07-10T00:50:01.445Z,2026-07-10,confirmed,ca4ab95829c97f116a2446b14d8100de6cc65f37ae27f1aa41e85c21e3edebf2,6495,,,,"[""PRD-calibration-template-module.md"",""TID-calibration-template-module.md"",""docs/calibration-template-smoke-test.md""]",internal,false,fully_read,2026-07-25,true,,high,"[""报告所声称的验收结论、测试命令/数量、提交与残余风险""]","[""报告之外的实际运行行为"",""未执行人工测试的结果"",""远程发布对象当前状态""]","[""calibration-profile"",""v1.2""]",确认模板数据层、步骤层、主程序注入和 263 项测试通过；真实 Boss 页面 12 项冒烟仍未执行。
SRC-008,[Hotfix] P0 验收报告：转发流程结束后执行两次焦点恢复点击,docs/Issue-Hotfix-double-focus-restore-acceptance-report.md,docs/Issue-Hotfix-double-focus-restore-acceptance-report.md,acceptance_report,md,tracked_current,main,8082d04cf408212560051bfacfa7588531512f69,2026-07-02T23:18:42+08:00,2026-07-12T22:26:19+08:00,2026-07-02T16:00:45.578Z,,unknown,c7127b925762b79dc713af7350ac78c03b1e91502a65546ae55416bdd02a3ee5,8237,,,,[],internal,false,fully_read,2026-07-25,true,,high,"[""报告所声称的验收结论、测试命令/数量、提交与残余风险""]","[""报告之外的实际运行行为"",""未执行人工测试的结果"",""远程发布对象当前状态""]","[""P0"",""focus-restore"",""hotfix""]",确认转发所有退出路径执行两次独立焦点恢复，110 项测试通过，并建议最小真实页面验证。
SRC-009,[Next-1] 验收报告：转发流程点击区域启动前校准,docs/Issue-Next-1-focus-restore-calibration-acceptance-report.md,docs/Issue-Next-1-focus-restore-calibration-acceptance-report.md,acceptance_report,md,tracked_current,main,8082d04cf408212560051bfacfa7588531512f69,2026-07-01T22:24:52+08:00,2026-07-12T22:26:19+08:00,2026-07-01T14:23:57.009Z,,unknown,1455111960f46af06930fca9667fbf3e52063e8eb83e341e6b7650d2a1ede7b7,10600,,,,"[""docs/tid/next/Issue-Next-1-focus-restore-calibration-TID-V1.0.md""]",internal,false,fully_read,2026-07-25,true,,high,"[""报告所声称的验收结论、测试命令/数量、提交与残余风险""]","[""报告之外的实际运行行为"",""未执行人工测试的结果"",""远程发布对象当前状态""]","[""Next-1"",""focus-restore""]",确认 Next-1 五个 Change、81 项测试和默认/运行期区域行为；真实 Windows Edge 验证未执行。
SRC-010,[Next-2] 验收报告：关键词规则新增 not 排除逻辑,docs/Issue-Next-2-keyword-not-rule-acceptance-report.md,docs/Issue-Next-2-keyword-not-rule-acceptance-report.md,acceptance_report,md,tracked_current,main,8082d04cf408212560051bfacfa7588531512f69,2026-07-01T22:58:17+08:00,2026-07-12T22:26:19+08:00,2026-07-01T14:57:32.371Z,,unknown,9d5aed6b4b1667d49712b10922eefd4390924245883f1e8147f731113e86c832,10854,,,,"[""docs/tid/next/Issue-Next-2-keyword-not-rule-TID-V1.0.md""]",internal,false,fully_read,2026-07-25,true,,high,"[""报告所声称的验收结论、测试命令/数量、提交与残余风险""]","[""报告之外的实际运行行为"",""未执行人工测试的结果"",""远程发布对象当前状态""]","[""Next-2"",""not"",""keyword-rule""]",确认 not 解析、匹配、完整规则二次确认和 97 项测试；真实 OCR 样本未执行。
